,country,state
0,California,676
1,Texas,273
2,Florida,222
3,Illinois,91
4,Washington,85
5,Colorado,80
6,Arizona,80
7,Michigan,79
8,North Carolina,70
9,Virginia,70
10,Massachusetts,69
11,New Jersey,57
12,Georgia,55
13,Minnesota,54
14,New York,54
15,Indiana,51
16,Maryland,50
17,Ohio,49
18,Utah,48
19,Wisconsin,45
20,Nevada,45
21,Missouri,45
22,Tennessee,44
23,Louisiana,40
24,Oregon,40
25,Connecticut,39
26,Kansas,35
27,Alabama,34
28,Iowa,34
29,Pennsylvania,33
30,Oklahoma,30
31,Arkansas,29
32,South Carolina,24
33,New Mexico,20
34,Rhode Island,19
35,Idaho,15
36,Puerto Rico,13
37,North Dakota,10
38,South Dakota,10
39,Montana,10
40,Nebraska,10
41,Kentucky,10
42,New Hampshire,10
43,Mississippi,9
44,Alaska,5
45,Delaware,5
46,Maine,5
47,District of Columbia,5
48,Hawaii,5
